sku;stock_28_02
11881;126
22165;36
10364;63
16011;0
15932;5
17553;34
19597;0
19601;0
19619;10
19629;35
19681;0
19688;191
19710;0
19729;0
19732;0
19738;0
19742;0
19744;0
19748;0
19750;0
19768;0
19769;0
19770;0,025
19772;0
19790;53
19844;59
19853;0
19859;0
19908;200
19919;6
19927;0
19935;51
19765;0
19835;0
19842;12
19845;0
19850;0
19858;57
19903;0
19904;421
19920;14
19924;0
19926;0
19928;0
19931;0
19945;24
19949;24
19951;0
19952;0
19959;35
19961;46
19962;36
19967;0
19971;0
19972;0
19977;0
19983;0
19984;0
19986;0
20050;0
20054;0
20060;0
20092;0
20131;0
20135;0
20138;0
20141;3
20149;92
20166;2
20169;0
20175;0
20176;0
19554;0
19564;134
19575;23
19584;0
19588;148
19600;23
19608;0
19609;82
19611;359
19613;154
19614;213
19621;26
19623;65
19625;59
19655;0
19657;0
19661;0
19663;0
19682;0
19685;13
19687;188
19689;65
19692;31
19699;17
19737;0
19747;0
19752;0
19757;0
19777;0
19807;0
19827;110
19833;61
19836;0
19839;326
19841;28
19843;0
19846;0
19849;0
19857;0
19885;0
19921;6
19942;24
19943;24
19944;24
19953;0
19960;24
19969;0
19979;0
19988;2
2;0
20048;25
20049;0
20074;0
20085;0
20129;13
20132;0
20133;0
20134;0
20139;0
20143;31
20180;15
20182;0
20200;0
20204;12
20215;75
20219;0
20221;10
20223;40
20227;21
20228;10
20235;0
20290;0
20307;0
20314;0
20316;0
20327;0
20402;0
20417;0
20437;0
20454;1
20458;0
20144;13
20147;0
20150;0
20170;10
20189;48
20211;35
20222;31
20225;56
20226;79
20231;0
20234;0
20261;0
20264;0
20294;27
20302;0
20305;0
20317;0
20320;0
20325;0
20326;0
20333;83
19922;22
19933;2
19936;0
19948;24
19950;0
19963;60
19966;0
19970;0
19976;0
19978;0
19981;0
19982;0
20026;0
20051;0
20057;0
20059;0
20068;28800
20073;0
20077;0
20079;21
20462;14
20465;0
20469;11
20470;10
20474;3
20476;7
20480;1
20484;16
20486;5
20488;38
20491;41
20497;0
2050000000010;0
2050000000027;0
20502;7
20658;0
20661;21
20665;24
20667;24
20670;46
20672;31
20676;42
20679;37
20681;0
20685;46
20687;1
20693;24
20694;19
20702;7
20705;34
20737;0
20746;0
20755;0
20766;42
20776;0
20778;0
20878;9
20883;23
20923;0
20927;0
20930;48
19201;0
19213;0
19216;0
19219;0
19220;0
19222;0
19224;0
19233;0
19237;0
19238;0
19239;0
19240;0
19242;0
19249;0
19262;0
19264;0
19270;0
19279;0
19285;0
19288;0
19292;0
19294;0
19302;0
19312;0
19313;0
19317;0
19319;0
19324;0
19355;0
19356;0
19361;0
19376;0
19394;0
19398;0
19401;0
19405;0
19409;0
19422;0
19424;0
19426;0
19427;0
19431;0
19433;0
19435;0
20338;34
20339;0
20353;36
20354;27
20378;133
20387;0
204000000003;0
20401;0
20403;0
20422;0
20435;0
20436;0
20457;0
20461;0
20463;0
20477;5
20487;47
20490;18
20495;18
20496;0
20499;10
20500000000278;0
20646;0
20659;0
20660;0
20662;0
20663;35
20664;54
20666;51
20675;38
20677;23
20680;71
20682;17
20683;30
20684;47
20686;1
20691;22
20698;0
20699;0
20701;14
20703;10
19438;0
19441;0
19465;0
19478;0
19500;0
19501;54
19506;0
19510;0
19511;0
19516;0
19522;36
19531;153
19558;157
19567;0
19574;141
19591;106
19596;0
19607;0
19612;176
19622;43
19624;58
20082;0
20084;0
20086;0
20090;0
20137;0
20142;14
20177;0
20183;0
20193;0
20201;12
20203;24
20207;0
20208;4
20209;0
20212;11
20214;81
20216;78
20220;40
20233;0
20243;51
20266;0
20293;7
20298;1
20303;0
20315;0
20329;0
20363;62
20404;0
20455;0
20460;13
20464;31
20466;18
20468;5
20472;17
20475;9
20479;4
20481;6
20482;9
20485;9
20489;31
20493;13
2050000000041;0
20944;0
20946;0
20947;0
21022;67
21024;48
21030;0
21034;62
21045;0
21073;0
21085;95
21103;24
21123;0
21141;0
21231;0
21252;26
21254;0
21256;13
21261;24
21267;6
19631;242
19652;24
19654;48
19662;0
19683;0
19684;9
19686;0
19695;151
19696;21
19697;258
19741;0
19745;0
19746;0
19751;0
19753;0
19755;0
19766;0
19767;0
19771;0
19789;3
19820;27
19837;0
19840;0
19856;16
19860;219
19905;457
19923;2
19925;0
19929;18
19932;0
19934;0
19946;24
19947;24
19985;0
20055;120
20056;0
20063;0
20069;402
20075;0
20076;0
20080;19
21299;40
21302;62
21303;29
21347;0
21405;30
21409;110
21430;0
21437;0
21446;0
21447;0
21495;0
21528;1196
21558;0
21580;32
21596;69
21598;73
21599;156
200804324031;0
20083;0
20091;0
20136;0
20148;225
20168;27
20181;17
20186;0
20196;108
20202;20
20205;5
20206;9
20210;45
20213;41
20217;54
20218;12
20224;38
20232;0
20236;9
20237;901
20242;0
20756;0
20884;11
20898;38
20899;10
20945;2
21020;46
21023;56
21027;23
21028;0
21029;0
21044;0
21057;70
21058;1
21106;0
21115;0
21118;0
21229;0
21235;0
21240;123
21253;13
21258;24
21265;12
21278;0
21295;113
21296;40
21345;0
21346;0
21351;3
21353;0
21358;0
21408;0
21435;0
21436;0
21445;0
21499;21
21501;16
21521;0
21525;0
21526;0
20501;18
20506;21
20519;82
20668;0
20673;0
20674;37
20688;20
20690;31
20695;24
20696;0
20700;17
20704;39
20745;0
20762;31
20771;0
20772;28
20897;8
20906;0
21025;22
21031;0
20267;0
20292;0
20296;0
20297;2
20299;0
20301;0
20313;0
20318;0
20319;0
20332;44
20418;1,157
21925;69
21926;0
21932;0
21934;0
21935;0
21982;30
21985;51
22005;30
22033;13
22038;21
22052;0
22055;35
22061;18
22105;60
22109;70
22116;56
21033;84
21037;228
21038;11
21039;60
21042;0
21046;23
21086;127
21111;0
21116;0
21142;0
21158;0
21181;0
21188;0
21232;0
21241;44
21891;13
21917;13
21920;31
21927;0
21930;0
21933;0
21936;0
21937;92
21968;0
21969;0
21970;0
21986;30
22034;23
22043;24
22051;19
22053;26
22058;33
22059;36
22069;39
22100;44
22108;48
21266;18
21277;0
21305;45
21317;0
21348;0
21349;0
21406;20
21433;0
21449;0
21498;0
21500;30
21502;1
21503;0
21518;0
21519;0
21520;51
21523;0
21553;0
20500;3
2050000000028;0
2050000000034;0
20516;141
20517;0
20649;84
20650;27
20656;9
20669;45
20671;36
20678;32
20689;17
20692;0
20697;0
20741;0
20743;0
20752;0
20763;29
20764;35
20768;1
20773;19
20828;0
20829;18
20896;161
20948;0
20949;0
21;0
21032;233
21035;66
21043;0
21087;193
21163;130
21164;120
21171;0
21182;25
21230;0
21233;0
21255;0
21263;0
21268;0
21300;45
21344;0
21352;1
21355;0
21407;18
21427;17
21434;0
21438;80
21444;0
21448;0
21472;0
21497;0
21504;0
21515;0
21524;0
21581;32
21586;0
21587;0
21593;391
21653;34
21654;1
21690;47
21692;25
21693;18
21694;17
21696;48
21703;7
21712;5
21758;0
21777;26,78
21928;0
21929;0
21931;0
21965;0
21966;0
21971;0
21978;10
22;0
22016;16
22032;12
22035;18
22036;27
22054;18
22068;29
22072;34
22106;60
22110;70
22112;70
22113;42
22114;48
22119;48
22126;60
22120;60
22122;20
22131;20
22136;48
22141;60
22146;36
22151;0
22157;24
22248;36
22257;64
22258;42
22259;48
22315;9
22316;6
22364;17
22450;0
34;0
36;0
38;1020
45;0
22117;50
22121;24
22125;60
22133;48
22134;48
22143;48
22144;60
22153;24
22154;12
22156;24
22159;12
22162;10
22205;12
22213;60
22246;40
22256;48
22451;0
22452;0
28;0
29;0
5;0
54;0
57;0
61;0
67;0
71;0
72;0
73;0
teste;0
37;0
44;0
46;0
48;0
49;0
51;0
52;0
53;0
60;32,09
65;0
70;0
75;0
8992761111045;0
21597;126
21624;0
21634;0
21679;56
21680;24
21685;0
21686;529
21689;48
21691;42
21695;39
21697;42
21701;7
21702;0
21705;8
21709;11
21734;17
21759;12
21760;128,517
21806;20
20456;10
20459;0
20467;4
20471;0
20473;0
20478;6
20483;8
20492;6
20494;40
